label_cluster_id,label_type,street_edge_id,osm_way_id,region_id,region_name,avg_image_capture_date,avg_label_date,median_severity,agree_count,disagree_count,unsure_count,cluster_size,users,avg_latitude,avg_longitude
17776,Signal,13265,1381260558,3,UV 3,2025-03-31T12:00Z,2025-09-05T16:48:56.367500Z,,0,0,0,2,[549187e0-82c9-4014-a48d-31f18083d575],-34.1730635,-70.7529525
17777,Signal,8573,475189332,3,UV 3,2025-03-01T00:00Z,2025-10-14T01:30:13.627Z,,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168495,-70.74598
17778,Signal,219,35073152,3,UV 3,2025-06-01T00:00Z,2025-10-24T16:09:57.765Z,,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.171898,-70.74673
17779,Signal,13265,1381260558,3,UV 3,2025-05-01T00:00Z,2025-09-05T16:48:46.201Z,,0,0,0,1,[549187e0-82c9-4014-a48d-31f18083d575],-34.17304,-70.75308
17780,Signal,8575,475189332,3,UV 3,2025-03-01T00:00Z,2025-10-14T01:30:06.623Z,,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168304,-70.74595
21310,CurbRamp,8515,474024847,7,UV 42,2025-05-01T00:00Z,2025-10-18T19:22:19.665Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.173332,-70.74419
21311,CurbRamp,12403,1024631193,7,UV 42,2025-05-01T00:00Z,2025-10-18T19:21:01.995Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.173313,-70.74405
21312,CurbRamp,12403,1024631193,7,UV 42,2025-05-01T00:00Z,2025-10-18T18:56:46.599Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.173485,-70.74284
21313,CurbRamp,12404,1024631193,7,UV 42,2025-03-31T12:00Z,2025-10-29T21:28:54.755500Z,2,0,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1730275,-70.745435
21314,CurbRamp,94,35037903,7,UV 42,2021-02-09T08:00Z,2025-10-19T09:07:42.786500Z,1,3,0,1,4,"[01815c56-c781-406c-af8d-9095064b6a02,e3849ac5-c5f5-4df4-ae85-5a09c753f458,8fb405d9-7239-4939-a18f-c298c96d1989]",-34.174174,-70.7456685
21315,CurbRamp,12484,1025610255,7,UV 42,2025-03-01T00:00Z,2025-10-15T22:50:26.733500Z,2,1,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.171075,-70.74366
21316,CurbRamp,8518,474024847,7,UV 42,2025-05-01T00:00Z,2025-10-15T00:53:35.171Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.172134,-70.74394
21317,CurbRamp,12486,1025610255,7,UV 42,2019-05-01T12:00Z,2025-10-12T10:37:19.019Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.171261,-70.742295
21318,CurbRamp,8465,464459660,7,UV 42,2025-03-01T00:00Z,2025-10-17T20:05:12.051Z,2,0,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1723335,-70.742648
21319,CurbRamp,105,35037906,7,UV 42,2025-03-01T00:00Z,2025-10-18T19:10:06.076Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.17229,-70.74261
21320,CurbRamp,8463,464459660,7,UV 42,2025-03-01T00:00Z,2025-10-24T16:10:13.786Z,1,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.17186,-70.74668
21321,CurbRamp,8571,475189332,7,UV 42,2025-06-01T00:00Z,2025-10-24T15:51:18.965Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.17169,-70.746796
21322,CurbRamp,12482,1025610255,7,UV 42,2025-03-01T00:00Z,2025-10-15T01:07:05.252Z,3,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.170815,-70.745125
21323,CurbRamp,12482,1025610255,7,UV 42,2025-06-01T00:00Z,2025-10-09T20:37:51.525Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.170692,-70.74644
21324,CurbRamp,86,35037903,7,UV 42,2025-03-31T12:00Z,2025-10-09T07:56:54.113Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1662535,-70.744197
